timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2019-07-19T00:00:00.000Z";"2019-07-19T23:59:59.999Z";"2019-07-19T01:15:01.000Z";"2019-07-19T13:15:01.000Z";"2781";0.3229641889;0.3245086197;0.3141473843;0.3206050879;1181194675.51;13732383140.1234;"2019-07-19T23:59:59.999Z"
"2019-07-18T00:00:00.000Z";"2019-07-18T23:59:59.999Z";"2019-07-18T16:02:01.000Z";"2019-07-18T13:03:00.000Z";"2781";0.3107481487;0.3265063646;0.3066244248;0.3231763049;1460358426.5;13842515319.9005;"2019-07-18T23:59:59.999Z"
"2019-07-17T00:00:00.000Z";"2019-07-17T23:59:59.999Z";"2019-07-17T16:58:00.000Z";"2019-07-17T02:23:01.000Z";"2781";0.2967618973;0.3221808526;0.294549927;0.3106126247;2478342584.51;13304378912.5867;"2019-07-17T23:59:59.999Z"
"2019-07-16T00:00:00.000Z";"2019-07-16T23:59:59.999Z";"2019-07-16T01:10:00.000Z";"2019-07-16T17:09:00.000Z";"2781";0.3151861801;0.3202419709;0.2912937325;0.2967259353;1527503243.29;12630613061.758;"2019-07-16T23:59:59.999Z"
"2019-07-15T00:00:00.000Z";"2019-07-15T23:59:59.999Z";"2019-07-15T16:04:01.000Z";"2019-07-15T02:28:01.000Z";"2781";0.306574613;0.3217828719;0.298669133;0.3153099615;1638295919.46;13421671800.1541;"2019-07-15T23:59:59.999Z"
"2019-07-14T00:00:00.000Z";"2019-07-14T23:59:59.999Z";"2019-07-14T01:50:01.000Z";"2019-07-14T15:53:01.000Z";"2781";0.3326854358;0.3348644425;0.3053264602;0.3064262336;1365358144.4;13043521741.9112;"2019-07-14T23:59:59.999Z"
"2019-07-13T00:00:00.000Z";"2019-07-13T23:59:59.999Z";"2019-07-13T00:13:01.000Z";"2019-07-13T20:57:00.000Z";"2781";0.344703892;0.3450828414;0.3252889776;0.3321788805;1076509238.9;14139724264.9326;"2019-07-13T23:59:59.999Z"
"2019-07-12T00:00:00.000Z";"2019-07-12T23:59:59.999Z";"2019-07-12T10:02:00.000Z";"2019-07-12T04:12:00.000Z";"2781";0.3303428972;0.3497893313;0.3232978097;0.3441177763;1641965114.75;14647922420.2662;"2019-07-12T23:59:59.999Z"
"2019-07-11T00:00:00.000Z";"2019-07-11T23:59:59.999Z";"2019-07-11T00:02:01.000Z";"2019-07-11T20:53:00.000Z";"2781";0.3634460805;0.3636335252;0.3229260523;0.3303354373;2056220396.34;14061255159.6906;"2019-07-11T23:59:59.999Z"
"2019-07-10T00:00:00.000Z";"2019-07-10T23:59:59.999Z";"2019-07-10T01:00:01.000Z";"2019-07-10T15:20:01.000Z";"2781";0.3948569606;0.3979195154;0.3520779061;0.36377484;2300685763.24;15484656712.2203;"2019-07-10T23:59:59.999Z"
"2019-07-09T00:00:00.000Z";"2019-07-09T23:59:59.999Z";"2019-07-09T02:22:00.000Z";"2019-07-09T20:25:00.000Z";"2781";0.4016446273;0.4065489124;0.3912863845;0.3941681117;1413299253.47;16778394835.1356;"2019-07-09T23:59:59.999Z"
"2019-07-08T00:00:00.000Z";"2019-07-08T23:59:59.999Z";"2019-07-08T23:26:00.000Z";"2019-07-08T09:02:00.000Z";"2781";0.397261331;0.4026895774;0.392328428;0.4015326512;1253488309.06;17091878214.3301;"2019-07-08T23:59:59.999Z"
"2019-07-07T00:00:00.000Z";"2019-07-07T23:59:59.999Z";"2019-07-07T22:08:00.000Z";"2019-07-07T00:12:00.000Z";"2781";0.3895031495;0.3988870948;0.3876239509;0.3970472017;1210813689.92;16900947895.064;"2019-07-07T23:59:59.999Z"
"2019-07-06T00:00:00.000Z";"2019-07-06T23:59:59.999Z";"2019-07-06T15:02:00.000Z";"2019-07-06T00:02:01.000Z";"2781";0.3791388593;0.4083742617;0.3784632839;0.3890550354;1521409874.71;16560748580.6035;"2019-07-06T23:59:59.999Z"
"2019-07-05T00:00:00.000Z";"2019-07-05T23:59:59.999Z";"2019-07-05T00:00:01.000Z";"2019-07-05T07:25:00.000Z";"2781";0.3887285448;0.3887285448;0.3756111465;0.378964283;1286860594.51;16131219596.4083;"2019-07-05T23:59:59.999Z"
"2019-07-04T00:00:00.000Z";"2019-07-04T23:59:59.999Z";"2019-07-04T00:09:00.000Z";"2019-07-04T23:56:00.000Z";"2781";0.4083155813;0.4086548878;0.3879735741;0.3887185591;1385563454.13;16546425930.2453;"2019-07-04T23:59:59.999Z"
"2019-07-03T00:00:00.000Z";"2019-07-03T23:59:59.999Z";"2019-07-03T05:43:00.000Z";"2019-07-03T17:05:00.000Z";"2781";0.400178165;0.4092389485;0.3967238792;0.4085318598;1436716899.5;17389810699.443;"2019-07-03T23:59:59.999Z"
"2019-07-02T00:00:00.000Z";"2019-07-02T23:59:59.999Z";"2019-07-02T00:10:00.000Z";"2019-07-02T11:40:00.000Z";"2781";0.4064138922;0.4097368593;0.3844769804;0.4002040766;1676193189.42;17035325314.4415;"2019-07-02T23:59:59.999Z"
"2019-07-01T00:00:00.000Z";"2019-07-01T23:59:59.999Z";"2019-07-01T02:23:00.000Z";"2019-07-01T15:45:00.000Z";"2781";0.3959004602;0.4176175849;0.3896730481;0.4068619249;1783852225.56;17318727257.431;"2019-07-01T23:59:59.999Z"
"2019-06-30T00:00:00.000Z";"2019-06-30T23:59:59.999Z";"2019-06-30T00:00:01.000Z";"2019-06-30T23:59:01.000Z";"2781";0.4291801049;0.4291801049;0.3964105142;0.3964105142;1570726856.17;16873846275.0226;"2019-06-30T23:59:59.999Z"
